time,dBZS,dBAS,dBCS,dBZ1_31,dBZ1_62,dBZ1_125,dBZ1_250,dBZ1_500,dBZ1_1000,dBZ1_2000,dBZ1_4000,dBZ1_8000,dBZ1_16000,dBZ3_25,dBZ3_31,dBZ3_39,dBZ3_50,dBZ3_62,dBZ3_79,dBZ3_99,dBZ3_125,dBZ3_157,dBZ3_198,dBZ3_250,dBZ3_315,dBZ3_397,dBZ3_500,dBZ3_630,dBZ3_794,dBZ3_1000,dBZ3_1260,dBZ3_1587,dBZ3_2000,dBZ3_2520,dBZ3_3175,dBZ3_4000,dBZ3_5040,dBZ3_6350,dBZ3_8000,dBZ3_10079,dBZ3_12699,dBZ3_16000,dBZ3_20159
1547014589.93,81.44,65.13,69.83,62.92,64.04,58.13,61.72,60.09,60.63,57.96,52.24,38.42,36.27,59.40,59.29,50.04,58.08,56.53,61.40,51.89,48.78,56.36,60.35,55.13,53.67,55.53,54.86,54.94,55.11,55.98,55.75,54.35,52.87,52.40,51.41,46.20,36.82,37.52,30.56,29.47,31.18,30.83,33.32
1547014590.06,81.32,65.87,70.91,57.67,65.33,64.61,60.53,60.66,60.12,60.08,52.88,42.72,36.44,49.50,49.22,57.13,64.59,56.54,54.33,62.86,57.70,53.17,57.29,55.67,54.55,54.91,53.96,57.88,55.08,56.11,54.92,56.49,54.74,54.45,50.97,48.04,41.28,41.05,36.81,32.74,32.00,30.57,33.39
1547014590.18,80.54,66.36,71.23,64.26,65.01,62.21,60.71,58.72,61.89,60.13,55.11,43.43,36.92,51.58,52.51,64.27,63.93,56.47,58.97,60.22,55.82,55.07,55.90,55.67,55.55,54.32,54.28,53.31,56.88,57.39,56.86,56.95,54.72,53.53,53.66,49.23,42.47,42.78,35.37,32.95,32.12,30.77,34.38
1547014590.31,78.43,65.64,71.63,62.74,66.75,65.25,61.13,60.02,60.87,59.42,52.38,40.17,36.00,53.52,49.92,62.75,66.48,56.24,55.68,63.23,58.63,55.03,53.81,58.85,53.59,53.61,55.73,55.42,56.05,57.61,53.69,56.89,53.42,52.60,50.95,46.86,38.94,39.21,32.94,29.49,29.81,30.37,33.72
1547014590.43,72.95,65.09,70.38,63.51,65.86,61.61,61.56,59.43,60.60,58.41,51.20,37.39,35.58,58.94,60.19,54.51,65.06,57.10,54.69,57.02,57.68,55.19,55.93,57.26,55.87,52.44,55.07,55.70,53.98,57.56,54.79,55.56,51.94,52.13,49.81,45.64,35.92,35.38,31.04,30.19,30.00,30.38,32.62
1547014590.56,75.09,66.37,69.80,60.88,60.34,61.42,61.78,61.52,62.14,59.31,51.49,38.77,35.84,59.68,52.36,52.73,57.35,54.74,52.84,58.87,55.27,54.28,59.05,56.93,53.81,54.88,56.91,57.74,56.96,58.95,55.62,55.04,54.22,54.48,49.86,46.16,37.33,37.37,32.36,29.85,30.62,30.28,32.88
1547014590.68,77.87,65.15,72.33,64.34,68.90,63.46,62.31,60.53,60.96,57.99,49.96,37.58,36.09,57.29,58.47,62.24,68.43,58.19,58.77,61.78,56.60,55.10,62.35,49.31,51.69,56.06,56.78,53.29,57.14,55.92,55.17,54.50,52.66,52.38,49.19,43.25,35.39,35.94,31.47,28.82,30.54,31.08,33.07
1547014590.81,76.29,65.34,72.23,64.27,67.99,65.77,62.21,60.13,61.56,58.03,49.69,37.43,36.17,55.23,58.54,61.94,65.35,61.98,61.09,64.66,56.41,55.76,60.34,56.12,52.02,52.79,57.95,53.92,56.26,57.35,55.64,53.34,53.82,53.10,48.29,44.71,35.66,35.97,30.32,28.82,30.45,30.32,33.77
1547014590.93,73.78,64.92,69.77,63.21,64.96,60.03,59.07,59.88,60.43,58.48,50.82,39.23,40.71,60.12,57.35,57.61,63.35,56.83,58.01,57.83,52.67,55.45,57.35,53.41,47.82,52.95,55.74,56.15,53.45,56.31,55.88,54.72,53.15,53.30,49.20,45.69,36.30,37.29,32.48,32.21,33.30,33.14,38.92
1547014591.06,72.14,65.21,69.15,65.31,58.65,61.23,57.81,61.03,61.02,57.92,51.77,37.97,35.25,61.18,61.06,58.12,53.23,54.73,53.42,58.66,54.08,54.36,54.48,53.19,47.91,56.90,55.44,55.97,56.00,56.98,55.86,54.26,53.15,52.34,50.55,45.76,36.74,36.48,30.94,29.40,30.31,29.91,32.09
1547014591.18,75.32,65.58,70.18,61.82,64.14,61.83,60.81,62.02,61.14,57.70,50.65,38.51,35.50,53.20,58.53,56.46,56.07,55.27,62.60,53.93,58.26,57.81,56.48,55.60,56.05,57.37,57.63,57.06,57.37,56.92,54.67,53.36,53.23,52.44,49.42,45.31,36.57,37.38,31.00,29.33,30.61,30.39,32.02
1547014591.31,79.88,66.70,71.75,60.08,65.94,66.18,59.88,61.20,62.55,59.56,52.33,39.46,35.86,51.84,54.07,58.53,64.86,55.98,59.36,63.35,61.26,56.44,57.00,54.61,54.46,55.89,55.02,58.19,56.36,58.47,58.22,56.00,54.75,53.59,51.16,46.35,38.76,38.75,31.56,29.11,30.97,30.32,32.87
1547014591.43,84.56,65.85,72.43,63.91,67.80,65.17,61.42,61.14,60.76,58.24,51.82,38.25,37.41,58.93,55.19,62.27,66.74,58.09,60.77,58.33,62.90,57.06,55.04,57.89,56.00,50.88,55.19,59.79,56.70,54.36,56.92,54.82,52.24,53.19,50.37,46.49,37.34,37.10,31.11,29.45,30.57,31.18,35.75
1547014591.56,86.22,66.99,72.53,64.22,61.72,66.84,63.23,60.40,63.63,59.28,50.59,38.20,36.38,62.06,59.34,52.17,59.51,55.23,55.81,65.46,59.40,60.46,60.60,58.41,57.20,55.70,54.15,57.11,59.10,60.15,56.62,55.48,54.25,53.92,49.57,44.92,36.73,36.92,31.19,28.91,30.11,30.58,34.22
1547014591.68,85.29,66.52,72.54,59.29,68.98,63.88,62.32,62.04,61.92,59.14,51.34,38.86,36.76,53.73,52.90,56.90,66.14,64.58,58.98,61.50,53.83,57.86,58.29,57.63,55.98,54.88,57.81,58.66,56.40,57.40,57.59,55.32,55.08,52.52,49.67,45.94,37.31,37.63,31.62,29.88,30.58,30.83,34.82
1547014591.81,82.61,67.13,71.18,63.06,64.74,60.53,62.15,60.95,62.35,61.14,54.76,40.90,36.51,59.05,58.25,57.47,63.58,55.99,55.27,49.06,55.21,59.57,59.31,58.29,53.97,58.42,56.76,52.39,58.11,57.09,57.22,57.00,56.31,56.08,54.10,48.02,40.42,40.38,32.64,30.73,31.33,30.15,34.30
1547014591.93,77.98,66.47,70.03,59.74,58.38,64.24,60.90,61.08,62.36,59.50,53.26,39.40,36.22,57.97,54.20,46.67,54.27,53.36,52.47,59.81,58.87,56.98,55.73,56.27,56.14,57.80,55.19,55.77,59.03,56.83,56.59,55.76,54.49,53.64,51.88,47.40,39.75,38.75,31.09,29.18,30.50,31.27,33.16
1547014592.06,72.48,66.03,69.28,56.64,62.53,59.60,60.65,61.91,61.17,59.43,53.11,38.87,35.56,52.74,50.06,53.08,58.93,57.33,56.52,47.73,57.06,54.00,54.64,57.79,53.42,57.13,57.54,54.56,55.83,57.85,54.43,55.42,54.85,53.80,51.81,47.96,39.54,38.19,30.72,28.86,30.02,30.04,33.06
1547014592.18,73.96,67.50,72.53,67.68,59.89,67.31,63.07,62.72,63.61,59.34,53.16,38.98,35.81,64.50,63.16,58.92,56.17,54.14,54.98,64.25,59.94,62.61,59.69,56.98,56.33,53.88,58.31,59.64,55.94,60.33,57.91,56.30,53.30,53.88,51.19,48.52,38.71,37.96,31.49,29.50,30.47,30.45,32.85
1547014592.31,72.15,67.14,71.03,63.39,64.02,62.58,62.56,61.74,63.35,59.45,52.49,38.84,35.39,60.73,56.97,57.54,63.02,57.22,43.41,58.29,57.73,56.33,57.96,58.32,57.15,54.68,55.71,59.07,58.13,59.88,56.61,55.60,54.31,54.09,50.79,47.28,39.41,37.61,31.74,29.18,30.18,30.07,32.50
1547014592.43,74.90,67.94,72.64,61.00,67.27,64.13,65.06,62.60,63.38,61.15,53.08,42.31,38.14,51.80,52.70,60.34,63.54,61.48,62.40,60.53,58.50,59.12,61.43,61.55,55.22,57.88,56.62,59.13,55.12,59.35,59.10,57.38,56.97,54.43,51.14,48.22,39.94,40.56,35.17,35.41,33.94,31.75,34.30
1547014592.56,75.93,67.94,71.81,63.40,57.52,66.78,61.11,61.96,64.18,60.85,53.15,39.73,35.68,59.01,59.04,56.96,49.85,53.00,54.93,60.45,61.01,63.56,57.07,57.66,53.66,57.63,56.74,58.35,59.63,59.77,57.98,57.63,54.56,55.52,51.37,48.52,40.05,38.95,31.83,29.81,30.14,30.59,32.58
1547014592.68,74.78,68.40,72.06,58.84,64.67,63.85,64.02,62.78,64.80,60.63,54.04,39.23,36.04,55.35,52.54,53.94,54.76,56.72,63.45,61.30,54.10,59.19,60.14,60.26,55.71,55.74,59.16,58.88,58.80,61.29,59.43,56.63,55.50,55.60,52.21,49.25,39.68,38.34,31.17,29.10,30.25,30.43,33.72
1547014592.81,74.12,68.28,72.77,62.64,66.47,66.08,63.34,63.98,64.57,60.25,53.20,39.30,35.84,59.45,55.56,58.63,64.81,59.27,58.33,62.13,62.54,55.52,60.20,57.93,53.68,59.28,58.98,59.17,57.92,61.32,59.28,57.30,54.63,53.77,51.76,47.46,41.17,38.67,30.93,29.45,30.55,30.68,32.94
1547014592.93,73.00,68.08,72.22,63.33,62.93,66.23,63.38,62.86,63.95,60.91,53.45,40.11,35.45,60.17,57.39,57.76,57.72,53.36,61.02,64.34,60.52,57.79,56.49,60.06,57.91,53.91,60.07,58.43,58.81,58.80,59.40,56.20,56.80,55.47,50.96,49.17,40.94,39.42,32.24,29.28,30.75,29.94,32.09
1547014593.06,73.35,68.12,72.57,59.45,67.43,65.73,63.48,63.12,62.10,62.58,55.35,42.46,36.56,56.56,50.33,56.06,63.27,63.39,60.42,56.81,64.37,55.06,60.49,58.47,56.02,58.97,57.75,57.95,57.25,58.01,57.22,59.91,57.74,55.20,53.29,50.81,41.83,42.34,33.30,29.88,31.23,30.63,34.19
1547014593.18,73.62,67.89,72.59,57.91,68.16,64.62,62.91,64.16,63.59,60.13,52.94,38.85,38.67,52.48,51.74,55.09,66.23,60.79,60.26,57.73,61.64,57.12,56.08,60.92,53.87,58.50,59.65,59.27,58.76,59.11,58.56,56.97,53.85,54.74,51.19,48.18,40.27,37.97,31.52,28.75,30.57,31.19,38.03
1547014593.31,75.60,68.02,74.14,63.34,69.22,68.96,64.10,62.71,63.82,60.80,53.08,38.58,36.77,60.26,57.61,57.68,66.68,63.14,61.94,67.33,62.30,55.93,58.82,60.82,56.83,56.50,58.10,58.75,60.13,58.83,58.29,58.12,55.12,54.84,51.72,47.77,38.40,37.70,31.05,29.00,30.54,31.62,34.38
1547014593.43,75.71,67.64,73.55,64.03,68.92,65.05,66.34,63.20,62.84,59.68,52.81,39.07,36.45,61.50,57.66,58.19,67.24,62.92,56.88,61.80,58.37,60.76,61.06,63.34,56.84,54.29,58.39,60.53,57.67,58.79,57.99,55.71,54.54,54.02,51.57,47.18,38.91,37.98,31.41,29.55,30.52,30.72,34.23
1547014593.56,73.05,67.43,71.34,64.50,62.23,63.55,62.91,60.34,63.95,60.45,52.39,38.68,36.63,59.44,59.87,59.77,61.08,57.33,47.65,56.55,60.36,58.78,58.08,60.70,54.34,55.44,54.83,56.41,61.58,58.89,55.28,57.17,55.66,54.25,50.34,48.32,37.78,37.40,31.72,29.60,30.57,30.52,34.77
1547014593.68,75.29,67.16,73.43,67.58,68.68,65.57,61.76,61.96,62.30,60.63,53.45,39.52,35.88,63.44,61.52,63.65,68.19,58.27,58.55,63.77,57.25,60.07,60.31,55.11,52.25,55.10,56.49,58.80,58.00,58.80,56.10,57.19,55.18,54.88,51.87,47.41,39.86,38.58,32.09,29.51,31.07,30.72,32.43
1547014593.81,70.45,67.25,70.03,59.31,58.24,62.30,61.47,61.96,63.64,59.76,52.98,39.06,36.07,54.19,53.59,55.42,52.47,53.35,53.97,59.35,52.67,58.49,58.72,56.82,53.58,55.48,57.49,57.73,59.07,59.33,57.80,55.00,55.91,54.19,51.66,47.50,37.72,37.97,31.29,30.14,31.17,30.29,33.34
1547014593.93,74.66,67.55,73.55,65.23,70.54,64.12,63.86,60.73,63.13,60.93,52.94,39.10,36.68,60.15,60.70,60.54,68.77,65.25,53.61,61.40,56.54,59.33,58.91,61.17,55.21,55.56,54.30,57.79,58.00,59.18,57.92,57.83,55.11,55.60,52.00,46.50,39.41,38.24,31.07,29.27,30.67,30.79,34.55
1547014594.06,74.47,68.10,72.84,63.97,66.78,66.08,61.59,63.59,62.92,61.88,54.69,41.12,35.89,61.29,57.55,58.16,65.44,57.94,59.08,62.05,56.60,63.66,57.21,58.83,53.27,59.05,57.69,59.35,58.35,59.22,56.87,59.28,56.15,55.16,53.32,49.13,40.89,40.64,32.64,30.30,31.44,30.84,32.03
1547014594.18,74.88,68.22,72.88,65.21,66.59,64.08,63.95,62.60,64.64,60.58,53.68,39.76,35.55,62.22,61.09,53.14,55.72,60.36,65.19,63.42,56.22,51.77,61.26,59.37,55.89,57.32,57.15,58.52,60.73,60.63,58.42,55.91,56.20,55.39,52.28,48.18,40.05,38.59,32.51,30.00,30.41,30.45,32.18
1547014594.31,74.02,68.14,71.37,62.55,62.41,62.25,61.40,63.82,63.19,61.15,52.38,39.72,35.89,57.33,52.05,60.90,55.81,57.24,60.00,57.62,55.67,58.60,53.93,58.18,56.14,52.26,60.16,60.97,57.25,58.17,59.32,58.61,56.15,54.10,50.59,47.09,39.69,38.69,31.92,29.80,30.20,30.71,33.06
